k,nombre,cond_elec,EN_SV,IP_SV,r_SV,EA_SV,M_SV,cond_term,mu_r
356,SV-356,30.09,1.9,1200,136.2,0.8,23.6,110.3,0.914
357,SV-357,30.0,2.0,1250,136.2,0.9,21.1,110.5,0.909
358,SV-358,29.91,2.1,1300,136.1,1.0,18.9,110.8,0.905
359,SV-359,29.83,2.2,1350,136.0,1.1,16.9,111.0,0.903
360,SV-360,29.74,0.0,400,135.9,0.0,15.1,111.2,0.901
361,SV-361,29.66,0.5,650,135.9,0.3,100.0,111.5,0.9
362,SV-362,29.58,0.6,700,135.8,0.4,89.5,111.8,0.9
363,SV-363,29.5,0.7,550,135.7,0.5,80.1,112.1,0.901
364,SV-364,29.42,0.8,600,135.6,0.6,71.7,112.4,0.904
365,SV-365,29.34,0.9,650,135.5,0.7,64.1,112.7,0.907
366,SV-366,29.26,1.0,700,135.4,0.8,57.4,113.0,0.911
367,SV-367,29.19,1.1,750,135.3,0.9,51.3,113.3,0.916
368,SV-368,29.11,1.2,800,135.2,1.0,45.9,113.7,0.922
369,SV-369,29.03,1.3,850,135.1,1.1,41.1,114.0,0.928
370,SV-370,28.96,1.4,900,135.0,0.2,36.8,114.3,0.936
371,SV-371,28.89,1.5,950,134.9,0.3,32.9,114.7,0.944
372,SV-372,28.81,1.6,1000,134.8,0.4,29.5,115.1,0.952
373,SV-373,28.74,1.8,1050,134.6,0.5,26.4,115.4,0.961
374,SV-374,28.67,1.9,1100,134.5,0.6,23.6,115.8,0.971
375,SV-375,28.6,2.0,1150,134.4,0.7,21.1,116.2,0.98
376,SV-376,28.53,2.1,1200,134.2,0.8,18.9,116.5,0.99
377,SV-377,28.46,2.2,1250,134.1,0.9,16.9,116.9,1.0
378,SV-378,28.39,0.0,1300,134.0,0.0,15.1,117.3,1.01
379,SV-379,28.32,0.5,1550,133.8,1.1,100.0,117.7,1.02
380,SV-380,28.25,0.6,600,133.7,0.2,89.5,118.0,1.03
381,SV-381,28.18,0.7,450,133.5,0.3,80.1,118.4,1.039
382,SV-382,28.11,0.8,500,133.4,0.4,71.7,118.8,1.048
383,SV-383,28.04,0.9,550,133.2,0.5,64.1,119.1,1.057
384,SV-384,27.98,1.0,600,133.0,0.6,57.4,119.5,1.064
385,SV-385,27.91,1.1,650,132.9,0.7,51.3,119.9,1.072
386,SV-386,27.84,1.2,700,132.7,0.8,45.9,120.2,1.078
387,SV-387,27.77,1.3,750,132.5,0.9,41.1,120.6,1.084
388,SV-388,27.7,1.4,800,132.4,1.0,36.8,120.9,1.089
389,SV-389,27.63,1.5,850,132.2,1.1,32.9,121.2,1.093
390,SV-390,27.56,1.6,900,132.0,0.2,29.5,121.6,1.096
391,SV-391,27.48,1.8,950,131.8,0.3,26.4,121.9,1.099
392,SV-392,27.41,1.9,1000,131.6,0.4,23.6,122.2,1.1
393,SV-393,27.34,2.0,1050,131.4,0.5,21.1,122.5,1.1
394,SV-394,27.27,2.1,1100,131.2,0.6,18.9,122.8,1.099
395,SV-395,27.19,2.2,1150,131.0,0.7,16.9,123.0,1.097
396,SV-396,27.12,0.0,1200,130.8,0.0,15.1,123.3,1.095
397,SV-397,27.05,0.5,1450,130.6,0.9,100.0,123.6,1.091
398,SV-398,26.97,0.6,1500,130.3,1.0,89.5,123.8,1.086
399,SV-399,26.89,0.7,1350,130.1,1.1,80.1,124.0,1.081
400,SV-400,26.82,0.8,400,129.9,0.2,71.7,124.2,1.075
401,SV-401,26.74,0.9,450,129.7,0.3,64.1,124.4,1.067
402,SV-402,26.66,1.0,500,129.4,0.4,57.4,124.6,1.06
403,SV-403,26.58,1.1,550,129.2,0.5,51.3,124.8,1.051
404,SV-404,26.5,1.2,600,128.9,0.6,45.9,124.9,1.043
405,SV-405,26.42,1.3,650,128.7,0.7,41.1,125.1,1.033
406,SV-406,26.33,1.4,700,128.4,0.8,36.8,125.2,1.024
407,SV-407,26.25,1.5,750,128.2,0.9,32.9,125.3,1.014
408,SV-408,26.17,1.6,800,127.9,1.0,29.5,125.4,1.004
409,SV-409,26.08,1.8,850,127.7,1.1,26.4,125.4,0.994
410,SV-410,25.99,1.9,900,127.4,0.2,23.6,125.5,0.984
411,SV-411,25.91,2.0,950,127.1,0.3,21.1,125.5,0.974
412,SV-412,25.82,2.1,1000,126.9,0.4,18.9,125.5,0.965
413,SV-413,25.73,2.2,1050,126.6,0.5,16.9,125.5,0.956
414,SV-414,25.64,0.0,1100,126.3,0.0,15.1,125.4,0.947
415,SV-415,25.55,0.5,1350,126.0,0.7,100.0,125.4,0.939
416,SV-416,25.46,0.6,1400,125.7,0.8,89.5,125.3,0.931
417,SV-417,25.36,0.7,1250,125.4,0.9,80.1,125.2,0.924
418,SV-418,25.27,0.8,1300,125.1,1.0,71.7,125.1,0.918
419,SV-419,25.17,0.9,1350,124.8,1.1,64.1,125.0,0.913
420,SV-420,25.08,1.0,400,124.5,0.2,57.4,124.8,0.908
421,SV-421,24.98,1.1,450,124.2,0.3,51.3,124.6,0.905
422,SV-422,24.88,1.2,500,123.9,0.4,45.9,124.4,0.902
423,SV-423,24.79,1.3,550,123.6,0.5,41.1,124.2,0.901
424,SV-424,24.69,1.4,600,123.3,0.6,36.8,123.9,0.9
425,SV-425,24.59,1.5,650,123.0,0.7,32.9,123.7,0.9
426,SV-426,24.49,1.6,700,122.7,0.8,29.5,123.4,0.902
427,SV-427,24.39,1.8,750,122.3,0.9,26.4,123.1,0.904
428,SV-428,24.29,1.9,800,122.0,1.0,23.6,122.7,0.907
429,SV-429,24.19,2.0,850,121.7,1.1,21.1,122.4,0.912
430,SV-430,24.09,2.1,900,121.3,0.2,18.9,122.0,0.917
431,SV-431,23.99,2.2,950,121.0,0.3,16.9,121.6,0.923
432,SV-432,23.88,0.0,1000,120.7,0.0,15.1,121.2,0.93
433,SV-433,23.78,0.5,1250,120.3,0.5,100.0,120.8,0.937
434,SV-434,23.68,0.6,1300,120.0,0.6,89.5,120.3,0.945
435,SV-435,23.58,0.7,1150,119.6,0.7,80.1,119.8,0.954
436,SV-436,23.47,0.8,1200,119.3,0.8,71.7,119.3,0.963
437,SV-437,23.37,0.9,1250,118.9,0.9,64.1,118.8,0.972
438,SV-438,23.27,1.0,1300,118.6,1.0,57.4,118.3,0.982
439,SV-439,23.17,1.1,1350,118.2,1.1,51.3,117.7,0.992
440,SV-440,23.06,1.2,400,117.8,0.2,45.9,117.1,1.002
441,SV-441,22.96,1.3,450,117.5,0.3,41.1,116.5,1.012
442,SV-442,22.86,1.4,500,117.1,0.4,36.8,115.9,1.022
443,SV-443,22.76,1.5,550,116.8,0.5,32.9,115.3,1.031
